user_id,REGION,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,TIGO,ZONE1,ZONE2,MRG,REGULARITY,TOP_PACK,FREQ_TOP_PACK,CHURN
7ee9e11e342e27c70455960acc80d3f91c1286d1,DAKAR,K > 24 month,20000.0,47.0,21602.0,7201.0,52.0,8835.0,3391.0,396.0,185.0,,,NO,62,On net 200F=Unlimited _call24H,30.0,0
50443f42bdc92b10388fc56e520e4421a5fa655c,,K > 24 month,,,,,,,,,,,,NO,3,,,0
da90b5c1a9b204c186079f89969aa01cb03c91b2,,K > 24 month,,,,,,,,,,,,NO,1,,,0
364ec1b424cdc64c25441a444a16930289a0051e,SAINT-LOUIS,K > 24 month,7900.0,19.0,7896.0,2632.0,25.0,9385.0,27.0,46.0,20.0,,2.0,NO,61,"Data:490F=1GB,7d",7.0,0
d5a5247005bc6d41d3d99f4ef312ebb5f640f2cb,DAKAR,K > 24 month,12350.0,21.0,12351.0,4117.0,29.0,9360.0,66.0,102.0,34.0,,,NO,56,All-net 500F=2000F;5d,11.0,0
b91a81e590d0dd029d99002d4226b9ca2cdf3cbc,DAKAR,E 6-9 month,2000.0,2.0,2000.0,667.0,3.0,4206.0,246.0,709.0,10.0,,,NO,62,"On-net 500=4000,10d",1.0,0
42335a2a6a2a4cd30452ce9bc611bd66b3a9d4c2,DAKAR,K > 24 month,3000.0,1.0,3000.0,1000.0,1.0,,,,,,,NO,6,"Data:3000F=10GB,30d",1.0,0
b1df76427c6ec716f3c749f46c1fcd8d0c46f21c,DAKAR,K > 24 month,,,,,,0.0,4.0,,,,,NO,10,,,0
f19538e205b79623db61ac663f50d567cd863aab,,K > 24 month,,,,,,,,,,,,NO,2,,,1
0ebed6d0a2ddb911189a4ce9473bf9dfa6bdaadc,THIES,K > 24 month,6500.0,13.0,6499.0,2166.0,14.0,1.0,97.0,81.0,12.0,0.0,,NO,61,All-net 500F=2000F;5d,12.0,0
6eb9de39a20086b2c83bf2fc2368ee1259578d6e,,K > 24 month,,,,,,157.0,2.0,,,,,NO,16,,,0
dfa55bddae8ebdc4db10cb13b3894fad566c856d,DAKAR,K > 24 month,3000.0,3.0,2934.0,978.0,46.0,,,16.0,14.0,,,NO,43,,,0
4f58b4a332eb74f64046cde81ac193195f169834,,K > 24 month,,,,,,,,,,,,NO,8,,,0
a45055313a48c05442653436ef49fb4ec6b34739,SAINT-LOUIS,K > 24 month,2600.0,13.0,2600.0,867.0,13.0,272.0,2.0,24.0,,,,NO,18,"Data:200F=Unlimited,24H",12.0,0
dd796ee9517ea2f271952d388b7561a965dc89d0,,K > 24 month,,,,,,,,,,,,NO,1,,,1
28c6bc76110508970ae764154f54c0a67c528c06,LOUGA,H 15-18 month,,,,,,,,,,,,NO,12,,,0
b376b7271e3ee027a52e6356996f59f479661d9b,THIES,K > 24 month,2500.0,5.0,2499.0,833.0,7.0,1799.0,195.0,19.0,1.0,,,NO,24,"Data:490F=1GB,7d",3.0,0
d50c26672d23a356a7ea0f0734abd7f1a3d25450,MATAM,K > 24 month,6400.0,13.0,6251.0,2084.0,21.0,0.0,474.0,118.0,,,,NO,54,On net 200F=Unlimited _call24H,9.0,0
6efe4ce5b4dab4cc86cd708152da3e5dd4072784,DAKAR,K > 24 month,71000.0,14.0,72280.0,24093.0,81.0,4123.0,178.0,1167.0,229.0,3.0,,NO,62,IVR Echat_Daily_50F,79.0,0
1a332939190a1376ca8065c646bba109d68b6f5e,DAKAR,K > 24 month,3000.0,3.0,2992.0,997.0,5.0,2384.0,0.0,,,,,NO,62,"Data:1000F=2GB,30d",3.0,0
120889cb9a6496678812ec46453f84b2c3339250,FATICK,K > 24 month,1450.0,3.0,1450.0,483.0,4.0,2209.0,45.0,2.0,14.0,,0.0,NO,29,"Data:200F=Unlimited,24H",1.0,0
f3fc35cf7dd264dfd4c9cd99305b81eeacc0066f,KAOLACK,K > 24 month,400.0,2.0,400.0,133.0,2.0,,56.0,,8.0,,,NO,61,On net 200F=Unlimited _call24H,2.0,0
1dbd75a84f0e0a26604a4a8f33807179906c740f,,K > 24 month,200.0,1.0,121.0,40.0,1.0,,0.0,,,,0.0,NO,14,,,0
617c4f917f86e8adcdf33f3d6b193990f7857039,DIOURBEL,K > 24 month,4000.0,7.0,3999.0,1333.0,10.0,0.0,81.0,73.0,34.0,,,NO,40,All-net 500F=2000F;5d,7.0,0
161871b5e3066ac0a50f5ba1214a156e913fbc2f,DAKAR,K > 24 month,7250.0,20.0,7487.0,2496.0,29.0,17363.0,194.0,33.0,2.0,,,NO,54,Mixt 250F=Unlimited_call24H,13.0,0
f269c7c30e95dc02827b4edf4b304f320aa8b35c,,K > 24 month,9000.0,15.0,9508.0,3169.0,18.0,6482.0,,125.0,8.0,,,NO,23,All-net 500F=2000F;5d,9.0,0
971a91c4f2cf98b91636b07435a9fb94670093b4,DAKAR,K > 24 month,2000.0,4.0,1999.0,666.0,5.0,1069.0,21.0,33.0,2.0,,,NO,18,All-net 500F=2000F;5d,3.0,1
5aadd67077414605f793be4bf808829dc54688d2,KAOLACK,K > 24 month,7500.0,16.0,7400.0,2467.0,21.0,3691.0,326.0,101.0,16.0,,,NO,52,On net 200F=Unlimited _call24H,8.0,0
